TotalPer Game,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Offense Allowed,,,,,,,,,Rushing Allowed,,,,Passing Allowed,,,,,,Redzone Allowed,,,Opp Turnovers,,,Opp Penalties,,Sacks
Team,POINTS,Q1 PTS,Q2 PTS,Q3 PTS,Q4 PTS,PLAYS,YARDS/PLAY,YARDS,ATTEMPTS,YARDS,YARDS/ATTEMPT ,TD,ATTEMPTS,YARDS/ATTEMPT,COMPLETIONS,YARDS/COMPLETIONS,YARDS,TDS,REDZONE ATTEMPTS,REDZONE TDS,RESZONE %,TURN OVERS,INTERCENTIONS ,FUMBLES,PENALTIES,PENALTI YARDS,SACKS
Arizona Cardinals,22,2.9,5.6,2.7,10.9,64,5.2,335.7,24.3,100.9,4.2,1,38,6.2,24.1,9.7,234.9,1.1,3.6,2.1,60.00%,1,0.6,0.4,7.4,69.1,1.7
Atlanta Falcons,22,3,7,5.7,6.3,56.1,4.9,275.6,27.7,126.4,4.6,0.6,26.1,5.7,16.1,9.2,149.1,1.6,2.3,1.6,68.80%,1.3,0.9,0.4,5.7,51.1,2.3
Baltimore Ravens,30,4.3,7.6,7.7,10.4,66.4,5.7,379.7,28.9,128.9,4.5,1.4,36.3,6.9,24.7,10.2,250.9,2,4.7,3.1,67%,0.6,0.3,0.3,6.4,47.6,1.3
Buffalo Bills,20.9,4.9,6.1,3.9,6,57.4,5.4,312.1,27.3,150.3,5.5,1.4,27,6,17.4,9.3,161.9,1,2.9,1.6,55.00%,1.1,0.4,0.7,5.7,47.4,3.1
Carolina Panthers,24,3.6,11.9,5.2,3.2,56.4,5.5,310,24.2,111.6,4.6,1.1,30.5,6.5,19.4,10.2,198.4,1.4,3,1.8,58.30%,0.9,0.8,0.1,7.5,56.6,1.6
Chicago Bears,26.4,3.4,8.9,5.7,8.4,56.9,6.2,350.7,27.1,143.3,5.3,0.9,27.7,7.5,20,10.4,207.4,2.3,3.6,2.3,64%,2.3,1.6,0.7,5.1,36.3,2
Cincinnati Bengals,31.6,5.2,10.9,6.4,9.1,65.5,6.2,407.9,30.4,151.9,5,1.2,33.8,7.6,23,11.1,256,2.4,4.6,3.2,70.30%,1.1,1,0.1,7.1,58.1,1.4
Cleveland Browns,23,3.8,6,6.9,6.4,57.5,4.8,276.9,26.5,94.2,3.6,0.4,28,6.5,18.6,9.8,182.6,1.9,2.9,1.8,61%,1.2,0.8,0.5,8.5,54.6,3
Dallas Cowboys,31.2,7.8,8.4,5,9.8,65.1,6.2,404.6,29.9,146,4.9,1.2,33.4,7.7,22.9,11.3,258.6,2.5,4,2.8,68.80%,0.9,0.5,0.4,8.8,80.2,1.9
Denver Broncos,18.9,4.2,5.9,4.2,4.5,61.8,4.6,281.4,25.1,95.1,3.8,0.8,32.1,5.8,18.2,10.2,186.2,1,2.5,1,40%,0.9,0.5,0.4,8.2,59.4,4.5
